ID,Date,City,Area,Primary Type,Description,Location Description,Arrest,Domestic,Year,Latitude,Longitude
PK-2026168,05/08/2023 11:10:00 AM,Karachi,Landhi,BATTERY,SIMPLE,RESIDENCE,False,False,2023,24.84175,66.962662
PK-2026169,01/12/2024 04:37:00 PM,Rawalpindi,Committee Chowk,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,False,False,2024,33.603651,72.985405
PK-2026170,02/18/2021 10:30:00 AM,Peshawar,Saddar,BATTERY,SIMPLE,NURSING HOME/RETIREMENT HOME,False,False,2021,33.968376,71.581467
PK-2026171,09/21/2022 02:00:00 PM,Karachi,Liaquatabad,BATTERY,AGGRAVATED: OTHER DANG WEAPON,STREET,False,True,2022,24.902274,66.962817
PK-2026172,05/28/2022 02:30:00 PM,Islamabad,Sector F-11,THEFT,$500 AND UNDER,STREET,False,False,2022,33.639699,73.090426
PK-2026173,02/11/2020 04:20:00 PM,Karachi,Defence (DHA),CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,True,2020,24.848374,67.000173
PK-2026174,04/21/2021 02:00:00 PM,Rawalpindi,Chaklala,CRIMINAL DAMAGE,TO PROPERTY,DEPARTMENT STORE,False,False,2021,33.600775,72.986568
PK-2026175,03/02/2023 02:30:00 AM,Karachi,Liaquatabad,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,True,True,2023,24.81869,67.04559
PK-2026176,03/02/2024 02:45:00 PM,Peshawar,Cantt,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,False,False,2024,33.98261,71.518337
PK-2026177,04/22/2022 04:15:00 PM,Lahore,Iqbal Town,ROBBERY,ARMED: HANDGUN,GAS STATION,False,False,2022,31.57637,74.345378
PK-2026178,11/08/2024 02:30:00 AM,Hyderabad,Cantt,ASSAULT,AGGRAVATED: HANDGUN,SIDEWALK,True,False,2024,25.422404,68.340908
PK-2026179,05/03/2024 12:00:00 PM,Karachi,Malir,THEFT,OVER $500,STREET,False,False,2024,24.877638,67.012254
PK-2026180,11/12/2022 08:39:23 AM,Lahore,Samanabad,THEFT,$500 AND UNDER,OTHER,True,False,2022,31.572974,74.303223
PK-2026181,06/28/2021 12:15:00 AM,Karachi,Liaquatabad,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,STREET,False,False,2021,24.865827,66.98803
PK-2026182,11/17/2025 02:00:00 PM,Hyderabad,Cantt,THEFT,OVER $500,STREET,True,False,2025,25.366216,68.414129
PK-2026183,07/20/2024 08:39:00 PM,Multan,Cantt,BURGLARY,FORCIBLE ENTRY,RESIDENCE,False,False,2024,30.138984,71.495876
PK-2026184,04/23/2024 10:50:00 AM,Lahore,Defence (DHA),NARCOTICS,ATTEMPT POSSESSION NARCOTICS,CHA PARKING LOT/GROUNDS,True,False,2024,31.511492,74.362408
PK-2026185,01/19/2025 01:00:00 AM,Rawalpindi,Chaklala,BATTERY,AGGRAVATED PO: OTHER DANG WEAP,CHA PARKING LOT/GROUNDS,False,False,2025,33.614114,72.995923
PK-2026186,01/04/2025 12:02:00 AM,Faisalabad,Madina Town,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,True,2025,31.460407,73.167817
PK-2026187,10/01/2025 12:00:00 AM,Islamabad,Bahria Town,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,False,False,2025,33.672502,73.003605
PK-2026188,02/18/2020 12:00:00 PM,Islamabad,F-8,BATTERY,SIMPLE,APARTMENT,False,True,2020,33.679841,73.104279
PK-2026189,05/07/2023 08:10:00 PM,Karachi,Nazimabad,THEFT,$500 AND UNDER,OTHER,False,False,2023,24.914374,66.995555
PK-2026190,01/06/2025 08:38:01 AM,Karachi,Liaquatabad,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE PORCH/HALLWAY,False,False,2025,24.819102,66.969426
PK-2026191,01/15/2024 11:59:02 AM,Multan,Gulgasht Colony,NARCOTICS,POSS: HEROIN(WHITE),RESIDENCE,True,False,2024,30.167848,71.47372
PK-2026192,03/19/2023 08:05:00 AM,Hyderabad,Qasimabad,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,False,False,2023,25.396707,68.318171
PK-2026193,10/01/2023 11:00:00 PM,Rawalpindi,Saddar,BURGLARY,FORCIBLE ENTRY,GAS STATION,False,False,2023,33.578475,73.019273
PK-2026194,02/15/2023 12:30:00 AM,Lahore,Gulberg,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,False,2023,31.491873,74.32404
PK-2026195,03/31/2023 04:21:28 AM,Lahore,Model Town,OTHER OFFENSE,OTHER CRIME AGAINST PERSON,STREET,False,False,2023,31.594355,74.383066
PK-2026196,07/09/2020 02:00:00 PM,Peshawar,Cantt,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,2020,34.066954,71.516607
PK-2026197,03/01/2023 11:20:00 PM,Multan,Cantt,CRIMINAL DAMAGE,TO PROPERTY,BAR OR TAVERN,True,False,2023,30.165316,71.494746
PK-2026198,08/10/2025 09:50:00 AM,Multan,Cantt,PROSTITUTION,PATRONIZING A PROSTITUTE,STREET,True,False,2025,30.181098,71.538957
PK-2026199,01/04/2023 06:20:26 PM,Faisalabad,Gulberg,CRIMINAL TRESPASS,TO VEHICLE,STREET,True,False,2023,31.5011,73.159813
PK-2026200,12/18/2020 01:00:00 PM,Rawalpindi,Satellite Town,THEFT,OVER $500,VEHICLE NON-COMMERCIAL,False,False,2020,33.589969,72.976945
PK-2026201,04/11/2021 10:00:00 PM,Karachi,Liaquatabad,PROSTITUTION,SOLICIT FOR BUSINESS,STREET,True,False,2021,24.819005,66.961214
PK-2026202,01/24/2020 02:43:00 PM,Karachi,North Nazimabad,DECEPTIVE PRACTICE,FORGERY,BANK,True,False,2020,24.869855,66.945501
PK-2026203,04/13/2021 09:45:00 PM,Multan,Shah Rukn-e-Alam,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,True,False,2021,30.170306,71.553268
PK-2026204,08/21/2023 09:30:00 PM,Rawalpindi,Adiala Road,THEFT,$500 AND UNDER,STREET,False,False,2023,33.555996,73.036557
PK-2026205,08/04/2021 03:28:50 AM,Karachi,North Nazimabad,LIQUOR LAW VIOLATION,SELL/GIVE/DEL LIQUOR TO MINOR,TAVERN/LIQUOR STORE,True,False,2021,24.889073,66.998056
PK-2026206,04/03/2020 01:30:00 PM,Karachi,Liaquatabad,BURGLARY,FORCIBLE ENTRY,APARTMENT,False,False,2020,24.912824,67.0424
PK-2026207,03/08/2022 03:41:01 PM,Rawalpindi,Committee Chowk,CRIMINAL TRESPASS,TO STATE SUP LAND,"SCHOOL, PUBLIC, BUILDING",False,False,2022,33.616168,73.05358
PK-2026208,04/05/2024 08:30:00 AM,Karachi,Nazimabad,ASSAULT,SIMPLE,"SCHOOL, PUBLIC, BUILDING",False,False,2024,24.854801,67.011343
PK-2026209,02/22/2020 03:30:00 PM,Karachi,Nazimabad,THEFT,$500 AND UNDER,STREET,False,False,2020,24.814289,67.045293
PK-2026210,10/22/2020 10:45:00 PM,Islamabad,G-6,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,True,False,2020,33.742581,73.012601
PK-2026211,10/12/2020 12:00:00 PM,Peshawar,Cantt,THEFT,$500 AND UNDER,STREET,False,False,2020,34.055768,71.47833
PK-2026212,10/27/2024 03:30:00 AM,Rawalpindi,Adiala Road,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,2024,33.52006,72.98927
PK-2026213,07/05/2021 06:00:00 PM,Karachi,Defence (DHA),THEFT,OVER $500,STREET,False,True,2021,24.911201,66.94795
PK-2026214,02/11/2024 05:38:55 AM,Peshawar,Cantt,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,False,2024,34.059488,71.52864
PK-2026215,01/24/2020 03:30:00 PM,Karachi,Gulshan-e-Iqbal,BATTERY,AGG: HANDS/FIST/FEET NO/MINOR INJURY,"SCHOOL, PUBLIC, GROUNDS",False,False,2020,24.862961,67.053493
PK-2026216,04/12/2022 02:43:20 PM,Lahore,Gulberg,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,2022,31.560653,74.288321
PK-2026217,08/31/2024 01:00:00 PM,Peshawar,Ring Road,THEFT,OVER $500,PARKING LOT/GARAGE(NON.RESID.),False,False,2024,34.00298,71.479553
PK-2026218,03/12/2020 12:30:00 AM,Rawalpindi,Raja Bazaar,ROBBERY,ARMED: OTHER DANGEROUS WEAPON,GROCERY FOOD STORE,False,False,2020,33.511671,73.011164
PK-2026219,10/20/2020 09:30:00 AM,Multan,Bosan Road,THEFT,FROM BUILDING,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,False,False,2020,30.137724,71.576965
PK-2026220,01/21/2021 06:38:29 AM,Rawalpindi,Peshawar Road,BATTERY,SIMPLE,RESIDENCE,False,True,2021,33.601442,72.994839
PK-2026221,02/14/2024 07:00:00 PM,Islamabad,G-6,THEFT,$500 AND UNDER,STREET,False,False,2024,33.624956,73.048768
PK-2026222,07/31/2023 08:00:00 PM,Karachi,Saddar,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,RESIDENCE,False,True,2023,24.84072,66.946089
PK-2026223,11/01/2021 06:45:00 AM,Lahore,Gulberg,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,False,2021,31.53748,74.301401
PK-2026224,04/08/2025 07:35:51 PM,Lahore,Model Town,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,OTHER,True,False,2025,31.554187,74.401996
PK-2026225,06/18/2022 01:51:09 PM,Karachi,Defence (DHA),BATTERY,SIMPLE,RESIDENCE,False,True,2022,24.911083,67.056914
PK-2026226,01/27/2022 02:04:06 PM,Gujranwala,Civil Lines,ROBBERY,STRONGARM - NO WEAPON,GROCERY FOOD STORE,False,False,2022,32.169262,74.135093
PK-2026227,10/01/2024 05:16:26 PM,Lahore,Gulberg,ASSAULT,SIMPLE,STREET,False,False,2024,31.531334,74.397817
PK-2026228,11/27/2022 11:37:00 AM,Multan,Gulgasht Colony,THEFT,$500 AND UNDER,APARTMENT,False,False,2022,30.186,71.541594
PK-2026229,01/19/2023 11:30:00 AM,Rawalpindi,Chaklala,NARCOTICS,POSS: CRACK,CHA PARKING LOT/GROUNDS,True,False,2023,33.559366,73.06105
PK-2026230,10/14/2020 07:00:00 AM,Faisalabad,Peoples Colony,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,HOSPITAL BUILDING / GROUNDS,False,False,2020,31.417353,73.129569
PK-2026231,11/22/2020 11:36:58 PM,Islamabad,Sector G-10,THEFT,OVER $500,STREET,False,False,2020,33.678693,73.049772
PK-2026232,09/06/2023 06:00:00 PM,Rawalpindi,Adiala Road,GAMBLING,GAME/DICE,RESTAURANT,True,False,2023,33.522003,73.015562
PK-2026233,07/11/2023 07:00:00 AM,Islamabad,F-10,BURGLARY,UNLAWFUL ENTRY,HOSPITAL BUILDING/GROUNDS,True,False,2023,33.645566,73.067924
PK-2026234,02/01/2023 04:45:43 PM,Karachi,Defence (DHA),ASSAULT,SIMPLE,APARTMENT,False,True,2023,24.860504,66.957858
PK-2026235,02/25/2023 02:38:03 PM,Peshawar,Gulbahar,NARCOTICS,MANU/DEL:CANNABIS 10GM OR LESS,SIDEWALK,True,False,2023,34.005371,71.468497
PK-2026236,08/20/2022 07:55:00 PM,Lahore,Iqbal Town,THEFT,$500 AND UNDER,GROCERY FOOD STORE,True,False,2022,31.599482,74.320552
PK-2026237,10/28/2020 06:35:00 PM,Karachi,Landhi,BATTERY,AGGRAVATED: OTHER DANG WEAPON,RESIDENCE,False,False,2020,24.844187,67.025662
PK-2026238,07/16/2021 07:47:30 AM,Rawalpindi,Chaklala,BURGLARY,FORCIBLE ENTRY,FACTORY/MANUFACTURING BUILDING,False,False,2021,33.574771,72.981122
PK-2026239,02/21/2020 11:00:00 PM,Karachi,Gulshan-e-Iqbal,THEFT,$500 AND UNDER,STREET,False,False,2020,24.876572,67.021912
PK-2026240,09/12/2025 11:00:00 AM,Quetta,Sariab Road,MOTOR VEHICLE THEFT,"ATT: TRUCK, BUS, MOTOR HOME",PARKING LOT/GARAGE(NON.RESID.),True,False,2025,30.121371,67.031389
PK-2026241,08/08/2022 07:30:00 AM,Quetta,Cantt,THEFT,OVER $500,STREET,False,False,2022,30.199424,66.926268
PK-2026242,05/19/2025 09:36:16 PM,Hyderabad,Latifabad,ROBBERY,ARMED: HANDGUN,RESIDENCE PORCH/HALLWAY,False,False,2025,25.357364,68.378512
PK-2026243,04/26/2022 07:45:00 AM,Lahore,Garden Town,ROBBERY,STRONGARM - NO WEAPON,RESTAURANT,False,False,2022,31.605028,74.33685
PK-2026244,12/04/2023 03:00:00 PM,Karachi,Saddar,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,STREET,False,False,2023,24.81854,67.045277
PK-2026245,12/10/2025 01:04:00 AM,Hyderabad,Latifabad,THEFT,OVER $500,SMALL RETAIL STORE,True,False,2025,25.385755,68.319058
PK-2026246,01/20/2021 04:15:00 AM,Lahore,Defence (DHA),NARCOTICS,POSS: CRACK,STREET,True,False,2021,31.499942,74.366715
PK-2026247,07/12/2024 06:05:00 PM,Quetta,Satellite Town,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,True,False,2024,30.239425,67.015574
PK-2026248,01/01/2020 12:00:00 AM,Quetta,Sariab Road,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,BARBERSHOP,False,False,2020,30.180063,67.028354
PK-2026249,04/30/2021 11:00:00 AM,Multan,Bosan Road,BATTERY,SIMPLE,RESIDENCE,False,False,2021,30.168946,71.54689
PK-2026250,01/07/2024 03:15:00 AM,Lahore,Samanabad,BATTERY,SIMPLE,BAR OR TAVERN,False,False,2024,31.497749,74.343261
PK-2026251,03/18/2022 12:00:00 AM,Lahore,Defence (DHA),MOTOR VEHICLE THEFT,"TRUCK, BUS, MOTOR HOME",RESIDENCE-GARAGE,True,False,2022,31.579695,74.357742
PK-2026252,08/07/2021 11:38:52 AM,Multan,Bosan Road,ROBBERY,ARMED: OTHER DANGEROUS WEAPON,STREET,False,False,2021,30.122689,71.569169
PK-2026253,09/02/2025 10:50:00 PM,Lahore,Model Town,NARCOTICS,POSS: CRACK,STREET,True,False,2025,31.597467,74.352073
PK-2026254,01/01/2024 03:09:52 AM,Karachi,Clifton,ASSAULT,SIMPLE,HOTEL/MOTEL,True,False,2024,24.825317,66.944746
PK-2026255,05/28/2020 03:41:00 PM,Islamabad,E-11,BATTERY,SIMPLE,RESIDENCE,False,False,2020,33.647283,73.099614
PK-2026256,01/13/2024 08:30:00 PM,Hyderabad,Latifabad,BATTERY,SIMPLE,STREET,True,True,2024,25.340386,68.380543
PK-2026257,12/17/2022 07:54:00 PM,Peshawar,Ring Road,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,False,2022,34.011748,71.546082
PK-2026258,07/02/2025 10:30:00 AM,Rawalpindi,Westridge,THEFT,OVER $500,STREET,False,False,2025,33.572881,72.982781
PK-2026259,06/07/2020 05:04:00 PM,Karachi,Landhi,CRIMINAL TRESPASS,TO LAND,APARTMENT,True,False,2020,24.808585,67.020166
PK-2026260,09/07/2025 04:20:00 PM,Rawalpindi,Westridge,HOMICIDE,FIRST DEGREE MURDER,AUTO,False,False,2025,33.598163,73.004164
PK-2026261,04/21/2022 05:00:00 AM,Gujranwala,Peoples Colony,BATTERY,SIMPLE,RESIDENCE,True,True,2022,32.182095,74.212648
PK-2026262,08/06/2024 01:04:01 PM,Karachi,Liaquatabad,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,True,True,2024,24.863627,66.953891
PK-2026263,09/04/2022 02:30:31 PM,Islamabad,G-6,BATTERY,AGGRAVATED: OTHER DANG WEAPON,ALLEY,False,False,2022,33.677292,73.066841
PK-2026264,09/12/2021 03:30:00 PM,Multan,Gulgasht Colony,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,GROCERY FOOD STORE,False,False,2021,30.145592,71.58483
PK-2026265,10/06/2022 07:00:00 PM,Peshawar,Cantt,THEFT,$500 AND UNDER,STREET,False,False,2022,34.022257,71.470685
PK-2026266,04/08/2021 09:55:00 AM,Peshawar,Saddar,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,True,False,2021,33.973729,71.582161
PK-2026267,05/28/2024 02:13:44 PM,Peshawar,Cantt,BATTERY,SIMPLE,APARTMENT,False,True,2024,33.976931,71.513729
PK-2026268,09/23/2024 02:00:00 PM,Lahore,Model Town,THEFT,$500 AND UNDER,STREET,False,True,2024,31.593114,74.38809
PK-2026269,05/09/2024 02:50:00 AM,Lahore,Faisal Town,BATTERY,AGGRAVATED: OTHER DANG WEAPON,STREET,False,False,2024,31.603234,74.377486
PK-2026270,06/26/2022 05:15:00 PM,Faisalabad,D-Ground,LIQUOR LAW VIOLATION,SELL/GIVE/DEL LIQUOR TO MINOR,RESTAURANT,True,False,2022,31.435197,73.143042
PK-2026271,08/21/2025 04:30:00 AM,Faisalabad,Susan Road,BATTERY,AGG PO HANDS NO/MIN INJURY,OTHER RAILROAD PROP / TRAIN DEPOT,True,False,2025,31.422889,73.163614
PK-2026272,04/27/2021 02:00:00 PM,Multan,Cantt,BATTERY,SIMPLE,RESIDENCE PORCH/HALLWAY,False,True,2021,30.17478,71.570322
PK-2026273,10/06/2024 05:50:00 PM,Hyderabad,City Area,BURGLARY,FORCIBLE ENTRY,RESIDENCE-GARAGE,False,False,2024,25.385048,68.346297
PK-2026274,05/10/2021 03:50:00 PM,Islamabad,F-8,THEFT,$500 AND UNDER,DEPARTMENT STORE,True,False,2021,33.627446,73.027144
PK-2026275,06/16/2021 11:25:00 PM,Islamabad,F-8,ASSAULT,AGGRAVATED: HANDGUN,RESIDENCE PORCH/HALLWAY,False,False,2021,33.643138,73.068011
PK-2026276,09/01/2023 11:30:00 AM,Faisalabad,Susan Road,NARCOTICS,POSS: CRACK,STREET,True,False,2023,31.476317,73.171942
PK-2026277,03/16/2025 02:30:00 AM,Rawalpindi,Adiala Road,ROBBERY,ARMED: HANDGUN,SIDEWALK,False,False,2025,33.584171,73.048374
PK-2026278,07/25/2021 08:04:46 PM,Peshawar,Gulbahar,DECEPTIVE PRACTICE,STOLEN PROP: BUY/RECEIVE/POS.,GROCERY FOOD STORE,True,False,2021,33.958352,71.560638
PK-2026279,06/21/2021 12:20:08 PM,Faisalabad,Madina Town,NARCOTICS,POSS: CRACK,STREET,True,False,2021,31.417037,73.12727
PK-2026280,12/29/2024 07:00:00 PM,Multan,Model Town,THEFT,$500 AND UNDER,STREET,False,False,2024,30.125229,71.56304
PK-2026281,08/30/2023 02:20:00 PM,Lahore,Gulberg,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,2023,31.570327,74.298025
PK-2026282,03/18/2022 11:06:00 PM,Lahore,Johar Town,CRIMINAL DAMAGE,TO PROPERTY,RESTAURANT,False,False,2022,31.492065,74.348939
PK-2026283,01/24/2025 04:00:00 PM,Karachi,Gulshan-e-Iqbal,NARCOTICS,POSS: HEROIN(WHITE),SIDEWALK,True,False,2025,24.813193,66.941791
PK-2026284,11/12/2020 10:08:18 AM,Rawalpindi,Satellite Town,THEFT,OVER $500,RESIDENCE,False,True,2020,33.60109,72.99585
PK-2026285,05/08/2020 10:00:00 PM,Karachi,North Nazimabad,MOTOR VEHICLE THEFT,THEFT/RECOVERY: AUTOMOBILE,STREET,False,False,2020,24.822125,66.985075
PK-2026286,08/01/2022 10:15:00 AM,Lahore,Shalimar,BURGLARY,UNLAWFUL ENTRY,RESIDENCE-GARAGE,False,False,2022,31.56803,74.331141
PK-2026287,07/22/2023 12:59:00 AM,Islamabad,G-9,HOMICIDE,FIRST DEGREE MURDER,STREET,True,False,2023,33.652982,73.071356
PK-2026288,07/15/2022 10:40:00 PM,Lahore,Faisal Town,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,True,False,2022,31.501633,74.330227
PK-2026289,08/25/2021 03:00:00 PM,Rawalpindi,Chaklala,BATTERY,SIMPLE,RESTAURANT,False,False,2021,33.534281,73.010743
PK-2026290,01/10/2025 03:10:00 PM,Karachi,Nazimabad,THEFT,FROM BUILDING,"SCHOOL, PUBLIC, BUILDING",False,False,2025,24.887372,66.969605
PK-2026291,12/30/2024 05:32:00 AM,Karachi,Nazimabad,THEFT,OVER $500,RESIDENCE,False,False,2024,24.903384,66.98589
PK-2026292,09/04/2022 02:00:00 AM,Faisalabad,Madina Town,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,ALLEY,True,False,2022,31.490026,73.102272
PK-2026293,02/14/2023 04:00:00 AM,Lahore,Faisal Town,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,False,False,2023,31.537362,74.292384
PK-2026294,07/25/2025 12:00:00 PM,Karachi,Gulshan-e-Iqbal,THEFT,OVER $500,RESIDENCE,False,False,2025,24.88087,67.013514
PK-2026295,09/04/2022 08:03:46 PM,Islamabad,E-11,BATTERY,SIMPLE,CHA APARTMENT,False,False,2022,33.648998,73.068086
PK-2026296,11/14/2022 01:39:48 AM,Faisalabad,D-Ground,NARCOTICS,MANU/DEL:CANNABIS OVER 10 GMS,STREET,True,False,2022,31.425578,73.149339
PK-2026297,10/24/2020 12:30:00 PM,Karachi,Nazimabad,THEFT,RETAIL THEFT,SMALL RETAIL STORE,False,False,2020,24.90826,66.996719
PK-2026298,01/11/2021 09:10:00 PM,Rawalpindi,Raja Bazaar,HOMICIDE,FIRST DEGREE MURDER,STREET,True,True,2021,33.50666,73.002474
PK-2026299,07/15/2020 12:20:00 AM,Karachi,Korangi,ROBBERY,STRONGARM - NO WEAPON,STREET,False,False,2020,24.810961,67.0447
PK-2026300,11/19/2021 11:30:00 PM,Karachi,North Nazimabad,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,2021,24.825646,67.00339
PK-2026301,07/29/2023 06:00:00 PM,Islamabad,Bahria Town,THEFT,OVER $500,STREET,False,False,2023,33.627584,73.045402
PK-2026302,09/20/2021 07:30:00 PM,Islamabad,I-8,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,2021,33.646172,72.990977
PK-2026303,01/31/2022 10:20:00 PM,Rawalpindi,Westridge,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,True,False,2022,33.575065,72.99785
PK-2026304,05/28/2021 07:20:00 PM,Peshawar,Ring Road,ASSAULT,SIMPLE,SIDEWALK,False,False,2021,34.005671,71.510523
PK-2026305,02/28/2023 01:41:15 PM,Gujranwala,Satellite Town,THEFT,OVER $500,GOVERNMENT BUILDING/PROPERTY,True,False,2023,32.234821,74.182359
PK-2026306,04/21/2024 10:21:00 AM,Islamabad,Blue Area,THEFT,RETAIL THEFT,SMALL RETAIL STORE,True,False,2024,33.722493,73.057521
PK-2026307,02/09/2024 10:10:00 AM,Lahore,Samanabad,BATTERY,SIMPLE,RESIDENCE,True,True,2024,31.530718,74.347632
PK-2026308,04/18/2020 11:00:00 PM,Faisalabad,Gulberg,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,STREET,False,False,2020,31.421531,73.147949
PK-2026309,04/04/2023 11:43:51 PM,Lahore,Gulberg,THEFT,$500 AND UNDER,RESTAURANT,False,False,2023,31.535263,74.375386
PK-2026310,02/01/2025 09:27:58 PM,Lahore,Model Town,THEFT,OVER $500,RESIDENCE,False,False,2025,31.560535,74.381158
PK-2026311,11/28/2022 03:00:00 PM,Karachi,Landhi,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,False,2022,24.832868,67.027275
PK-2026312,11/28/2025 11:30:00 AM,Karachi,Nazimabad,SEX OFFENSE,NON-CONSENSUAL DISSEMINATION OF PRIVATE SEXUAL IMAGES,APARTMENT,False,False,2025,24.875598,67.055763
PK-2026313,10/12/2020 01:30:00 PM,Quetta,Cantt,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,OTHER (SPECIFY),False,False,2020,30.168929,66.917188
PK-2026314,11/20/2025 10:15:00 PM,Faisalabad,Madina Town,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,True,2025,31.456646,73.098493
PK-2026315,11/26/2020 08:45:00 AM,Peshawar,Cantt,ASSAULT,SIMPLE,APARTMENT,False,True,2020,34.007435,71.465808
PK-2026316,02/14/2023 12:31:43 AM,Lahore,Garden Town,CRIMINAL TRESPASS,TO LAND,RESIDENCE,True,False,2023,31.525036,74.361297
PK-2026317,05/28/2025 03:00:00 AM,Karachi,Korangi,ASSAULT,SIMPLE,RESIDENCE,False,True,2025,24.914514,67.048864
PK-2026318,09/03/2021 12:00:00 PM,Karachi,Clifton,GAMBLING,BOLITA OR BOLI PUL/WRITER,STREET,True,False,2021,24.892333,66.970318
PK-2026319,01/18/2023 02:25:00 AM,Lahore,Township,ARSON,BY FIRE,VEHICLE NON-COMMERCIAL,False,False,2023,31.506514,74.394844
PK-2026320,12/20/2021 04:30:00 PM,Islamabad,G-9,THEFT,FROM BUILDING,COMMERCIAL / BUSINESS OFFICE,False,False,2021,33.728616,72.995132
PK-2026321,06/10/2023 07:50:00 PM,Peshawar,Cantt,ASSAULT,SIMPLE,STREET,False,False,2023,34.013592,71.577032
PK-2026322,04/22/2025 11:37:01 AM,Rawalpindi,Raja Bazaar,BATTERY,SIMPLE,RESIDENCE,False,True,2025,33.612446,72.999095
PK-2026323,07/22/2022 08:15:00 PM,Lahore,Iqbal Town,NARCOTICS,POSS: HEROIN(WHITE),SIDEWALK,True,False,2022,31.585683,74.29577
PK-2026324,12/19/2020 07:00:00 PM,Quetta,Satellite Town,ASSAULT,SIMPLE,COMMERCIAL / BUSINESS OFFICE,False,False,2020,30.170826,66.973305
PK-2026325,07/02/2025 05:37:54 PM,Peshawar,Faqirabad,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,True,False,2025,33.957796,71.495713
PK-2026326,10/03/2023 12:30:00 AM,Islamabad,Sector G-10,THEFT,OVER $500,CHA APARTMENT,False,True,2023,33.656641,73.022085
PK-2026327,07/10/2023 10:10:00 PM,Rawalpindi,Westridge,BATTERY,AGGRAVATED: HANDGUN,CHA PARKING LOT/GROUNDS,False,False,2023,33.570096,72.993775
PK-2026328,11/11/2023 09:00:00 PM,Lahore,Faisal Town,ASSAULT,SIMPLE,RESIDENCE,False,True,2023,31.565717,74.379963
PK-2026329,07/02/2025 05:15:00 PM,Karachi,Liaquatabad,BATTERY,SIMPLE,GAS STATION,False,False,2025,24.831647,67.005799
PK-2026330,06/12/2020 04:38:07 PM,Lahore,Model Town,BURGLARY,FORCIBLE ENTRY,APARTMENT,False,False,2020,31.506423,74.320957
PK-2026331,07/14/2025 08:45:00 PM,Peshawar,Saddar,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,2025,34.055292,71.53814
PK-2026332,11/14/2021 12:51:00 AM,Karachi,Gulshan-e-Iqbal,HOMICIDE,FIRST DEGREE MURDER,ALLEY,False,False,2021,24.918828,67.027038
PK-2026333,09/26/2021 06:00:00 PM,Karachi,Clifton,BURGLARY,FORCIBLE ENTRY,SMALL RETAIL STORE,False,False,2021,24.863783,66.973815
PK-2026334,11/18/2021 07:35:00 PM,Karachi,Korangi,THEFT,$500 AND UNDER,SMALL RETAIL STORE,True,False,2021,24.821302,66.990726
PK-2026335,08/07/2020 06:20:08 PM,Karachi,Gulshan-e-Iqbal,THEFT,$500 AND UNDER,DEPARTMENT STORE,True,False,2020,24.833377,66.955726
PK-2026336,11/25/2021 04:48:51 AM,Multan,Cantt,BURGLARY,FORCIBLE ENTRY,RESTAURANT,False,False,2021,30.099707,71.486638
